ticker,text,date,label,data_source
2010,Oil prices fall 12% on weakening global demand outlook,2021-01-01,0,synthetic
4110,TAWUNIYA board declares special dividend of SAR 11.1 per share,2021-01-01,1,synthetic
1120,Al Rajhi Bank signs joint venture deal worth SAR 9.9 billion,2021-01-04,1,synthetic
1150,Alinma Bank earnings per share jump 6% in Q1,2021-01-04,1,synthetic
7010,Foreign investor inflows into Tadawul index rise 19%,2021-01-04,1,synthetic
4110,SAMA hikes repo rate by 9 bps tightening credit conditions,2021-01-04,0,synthetic
2222,Saudi Aramco writes off SAR 1.8 billion in non-performing assets,2021-01-04,0,synthetic
1211,Ma'aden writes off SAR 13.9 billion in non-performing assets,2021-01-05,1,synthetic
7010,Oil prices fall 41% on weakening global demand outlook,2021-01-06,0,synthetic
1150,Credit agency downgrades Alinma Bank rating one notch,2021-01-06,0,synthetic
1150,US Federal Reserve raises interest rates by 37 basis points,2021-01-07,0,synthetic
1120,Al Rajhi Bank return on equity falls sharply to 39%,2021-01-08,0,synthetic
2222,Saudi Aramco digital customers rise 14% year on year,2021-01-11,1,synthetic
4110,TAWUNIYA market share increases 24% in its core business,2021-01-11,1,synthetic
1120,Al Rajhi Bank loses key SAR 10.7 billion infrastructure contract,2021-01-12,0,synthetic
1150,Alinma Bank warns of tough trading outlook for rest of year,2021-01-12,0,synthetic
2222,Saudi Aramco non-performing loan ratio falls to five-year low,2021-01-13,1,synthetic
1211,Ma'aden net financing income rises 21% in first half,2021-01-13,1,synthetic
1120,Al Rajhi Bank wins major infrastructure contract worth SAR 14.8 billion,2021-01-13,0,synthetic
7010,Inflation surge adds 37% to STC operating expenses,2021-01-14,0,synthetic
4325,MASAR customer deposits grow 23% year on year,2021-01-14,1,synthetic
1211,Dollar strengthens 34% against peers pressuring commodities,2021-01-14,0,synthetic
2222,SAMA reduces repo rate by 32 bps to support credit growth,2021-01-14,1,synthetic
4110,TAWUNIYA announces changes to its senior leadership team,2021-01-15,0,synthetic
1211,Geopolitical tensions in the Middle East unsettle investors,2021-01-18,0,synthetic
1120,Rate hike adds SAR 12.8 billion to Al Rajhi Bank annual funding costs,2021-01-18,0,synthetic
1120,IMF raises Saudi Arabia economic growth outlook to 17%,2021-01-21,1,synthetic
4325,MASAR earnings per share jump 16% in Q2,2021-01-21,1,synthetic
7010,STC wins major infrastructure contract worth SAR 8.6 billion,2021-01-21,1,synthetic
2010,Credit agency downgrades SABIC rating one notch,2021-01-21,1,synthetic
4110,TAWUNIYA management holds meetings with institutional investors,2021-01-22,0,synthetic
2010,SABIC board declares special dividend of SAR 3.3 per share,2021-01-22,1,synthetic
4110,TAWUNIYA quarterly profit up 39% beating analyst forecasts,2021-01-25,1,synthetic
2222,Military conflict fears in region trigger capital flight,2021-01-26,0,synthetic
4110,TAWUNIYA completes acquisition integration ahead of schedule,2021-01-26,0,synthetic
2222,Geopolitical tensions in the Middle East unsettle investors,2021-01-27,0,synthetic
1150,Alinma Bank quarterly profit up 20% beating analyst forecasts,2021-01-27,1,synthetic
2222,Saudi Aramco launches new product line to strong market reception,2021-01-27,0,synthetic
2222,Saudi Aramco CEO and CFO depart amid corporate governance issues,2021-01-28,0,synthetic
4110,TAWUNIYA earnings per share jump 28% in Q3,2021-01-28,1,synthetic
2010,SABIC capital adequacy ratio rises to 29%,2021-01-28,1,synthetic
2010,SABIC loses significant market share to competitors,2021-01-28,1,synthetic
1211,Ma'aden results broadly in line with analyst expectations,2021-01-29,0,synthetic
2222,Saudi Aramco wins major infrastructure contract worth SAR 4.9 billion,2021-01-29,1,synthetic
1150,Geopolitical tensions in the Middle East unsettle investors,2021-02-01,0,synthetic
1211,Ma'aden mortgage portfolio grows 23% on housing demand,2021-02-01,1,synthetic
1150,Rating agency upgrades Alinma Bank credit outlook to stable positive,2021-02-01,1,synthetic
2010,SABIC secures major SAR 9.9 billion government contract,2021-02-01,1,synthetic
2010,SABIC raises full-year guidance after strong Q4 results,2021-02-02,1,synthetic
7010,STC net income surges 39% on strong market demand,2021-02-03,1,synthetic
7010,STC cost-to-income ratio deteriorates to 26%,2021-02-04,0,synthetic
7010,STC external auditors issue unqualified opinion on accounts,2021-02-05,1,synthetic
2010,SABIC loses significant market share to competitors,2021-02-10,0,synthetic
1150,Analysts raise Alinma Bank target price on strong earnings outlook,2021-02-10,1,synthetic
2222,Saudi Aramco profit drops 14% on weaker consumer spending,2021-02-11,0,synthetic
7010,STC profit climbed 34% driven by higher volumes,2021-02-11,0,synthetic
4325,Saudi consumer inflation rises to 38% squeezing households,2021-02-11,0,synthetic
2010,Brent crude climbs to $12.4 per barrel lifting Saudi equities,2021-02-11,0,synthetic
4325,MASAR placed under regulatory probe for compliance failure,2021-02-11,0,synthetic
4325,MASAR issues routine trading update for current quarter,2021-02-16,0,synthetic
1150,Saudi consumer inflation cools to 27% supporting spending,2021-02-16,0,synthetic
1150,Alinma Bank placed under regulatory probe for compliance failure,2021-02-16,0,synthetic
7010,STC revenue growth reaches 22% year on year,2021-02-16,1,synthetic
1211,Ma'aden reports net loss of SAR 3.5 billion in Q1,2021-02-16,0,synthetic
4325,MASAR operating margin falls by 19 basis points,2021-02-17,0,synthetic
1120,Al Rajhi Bank digital customers rise 40% year on year,2021-02-17,1,synthetic
1120,Al Rajhi Bank earnings miss market estimates by 25%,2021-02-19,0,synthetic
7010,STC total assets grow 41% to reach SAR 4.1 billion,2021-02-22,0,synthetic
1120,Al Rajhi Bank external auditors issue unqualified opinion on accounts,2021-02-22,0,synthetic
7010,STC external auditors issue unqualified opinion on accounts,2021-02-23,1,synthetic
2010,SABIC CEO and CFO depart amid corporate governance issues,2021-02-23,0,synthetic
1120,Al Rajhi Bank workforce productivity improves by 17%,2021-02-24,1,synthetic
1211,US Federal Reserve raises interest rates by 21 basis points,2021-02-24,0,synthetic
2010,SABIC cost-to-income ratio deteriorates to 27%,2021-02-24,0,synthetic
7010,STC shares hit 52-week low following profit warning,2021-02-25,0,synthetic
2010,Oil prices rally 41% following OPEC production cut agreement,2021-02-26,1,synthetic
4110,IMF cuts Saudi Arabia economic growth forecast to 23%,2021-02-26,0,synthetic
1120,Al Rajhi Bank posts 37% rise in total operating income,2021-03-01,1,synthetic
4110,TAWUNIYA management holds meetings with institutional investors,2021-03-03,1,synthetic
4110,TAWUNIYA capital adequacy ratio rises to 17%,2021-03-04,1,synthetic
7010,STC market share increases 39% in its core business,2021-03-05,1,synthetic
4110,TAWUNIYA releases annual sustainability and ESG report,2021-03-05,1,synthetic
2010,US Federal Reserve cuts interest rates by 15 basis points,2021-03-08,1,synthetic
4325,MASAR revenue down 40% as market conditions worsen,2021-03-08,0,synthetic
1211,Ma'aden fee income rises 14% boosting overall margins,2021-03-08,1,synthetic
4110,US Federal Reserve raises interest rates by 25 basis points,2021-03-08,0,synthetic
4325,Dollar strengthens 23% against peers pressuring commodities,2021-03-09,0,synthetic
4110,Saudi Arabia GDP grows 31% beating IMF growth forecast,2021-03-09,1,synthetic
4110,TAWUNIYA market share increases 29% in its core business,2021-03-10,1,synthetic
2010,SABIC earnings per share jump 33% in Q1,2021-03-10,1,synthetic
2222,Saudi Aramco revenue down 23% as market conditions worsen,2021-03-11,0,synthetic
2010,SABIC workforce productivity improves by 5%,2021-03-15,0,synthetic
2010,SABIC shares hit 52-week low following profit warning,2021-03-15,1,synthetic
1211,Ma'aden wins major infrastructure contract worth SAR 1.8 billion,2021-03-16,1,synthetic
1150,Military conflict fears in region trigger capital flight,2021-03-17,0,synthetic
2010,Saudi current account deficit widens on lower oil revenues,2021-03-18,0,synthetic
1150,Alinma Bank non-performing loan ratio falls to five-year low,2021-03-18,1,synthetic
7010,STC non-performing loan ratio falls to five-year low,2021-03-18,1,synthetic
4325,MASAR Q4 earnings per share disappoints — down 12%,2021-03-18,0,synthetic
7010,STC upgraded to buy by leading investment analysts,2021-03-18,1,synthetic
2010,SABIC announces changes to its senior leadership team,2021-03-19,0,synthetic
2010,Saudi Arabia GDP growth slows to 11% below IMF expectations,2021-03-22,0,synthetic
